id,source,ambientTemp,latitude,longitude,time
2WWPr8cGN8MMFNSU4VIwWWJhYsF,,24.5,26.51,-81.91,2023-10-09T09:59:18.521Z
2WWPr8b3uksNeInCRMuu5oKSRis,,21,49.16,-122.92,2023-10-09T09:59:18.522Z
2WWPr5TJaqia41s11P9FR1HX8iv,,23.5,32.98,-117.17,2023-10-09T09:59:18.905Z
2WWPr7d2ryGl7JGkNMJzJ4ODtZC,,13,41.83,-87.68,2023-10-09T09:59:18.934Z
2WWPrALzjJ6TrXhzoQ2x2Tk9bU0,,10.5,30.42,-87.29,2023-10-09T09:59:18.934Z
2WWPrKScd8FnakaBCbW4dvxDg9C,,22.5,51.22,4.24,2023-10-09T09:59:19.031Z
2WWPrHEMN1GITY1fTGT6RRyMHhW,,23.5,43.76,1.3,2023-10-09T09:59:19.539Z
2WWPrEP8x4lr0zqgA8Lotu8lNMx,,10,40.75,-73.69,2023-10-09T09:59:19.54Z
2WWPrHojuYSdZVl0VO68YbS8bST,,13,-37.95,145.1,2023-10-09T09:59:19.723Z
2WWPrKtBKoWgQI6QpICR9LhmtGI,,18,42.1,-87.84,2023-10-09T09:59:19.723Z
2WWPrIKkOG2hafFTpV1MIiRhFfi,,21,33.88,-117.21,2023-10-09T09:59:19.843Z
2WWPrGrQoDn1PpLm0oS4kCqAvNO,,23.5,52.15,5.38,2023-10-09T09:59:19.844Z
2WWPrLgXDU2TxOEc11RRWiVUtw4,,25.5,45.84,8.8,2023-10-09T09:59:20.227Z
2WWPrMqtx9ikKd5DLwuN88StWnV,,14,38.31,-122.29,2023-10-09T09:59:20.228Z
2WWPrKyEjMi2syAygXnv2rcPUsz,,23.5,42.63,-71.4,2023-10-09T09:59:20.348Z
2WWPrNsrLg5qh4JAzY0YOcvenmf,,18,53.46,-2.87,2023-10-09T09:59:20.573Z
2WWPrUGoDZcbXOSyTzHztt2HRkm,,11.5,57.66,11.87,2023-10-09T09:59:21.364Z
2WWPrSsKaSgmRGwpEGkrd6vCVE6,,19,34.22,-118.53,2023-10-09T09:59:21.73Z
2WWPrUNEpATOypIR4RZptuxt82b,,11.5,57.66,11.87,2023-10-09T09:59:21.902Z
2WWPrT29Lk24f0TI2PwPmwl6wJ0,,18,43.89,-78.79,2023-10-09T09:59:21.902Z
2WWPrbX9Xo1MLKvuwnS6UIm3q2p,,21.5,36.96,-120.06,2023-10-09T09:59:22.571Z
2WWPrhwc8PEmCUEcqFQrpISMhXY,,15.5,37.25,-121.77,2023-10-09T09:59:22.603Z
2WWPrmiT0zc7Eian9CGuhOriIeM,,26.5,37.9,-4.66,2023-10-09T09:59:23.029Z
2WWPriuw739ZInzxKX5eYTOjGxf,,16.5,52.49,7.55,2023-10-09T09:59:23.034Z
2WWPrjiB0P9qxNEHCTOaV2VCvT5,,6.5,59.44,24.77,2023-10-09T09:59:23.074Z
2WWPrmU2REYWPU878yjD6NS9T6D,,12.5,55.9,12.28,2023-10-09T09:59:23.094Z
2WWPrkZxj7jpoBevsUyRKFHmBKP,,26,33.12,-117.31,2023-10-09T09:59:23.531Z
2WWPrj6uCnpVH1WLmo12ZpibYfM,,17.5,51.81,-0.35,2023-10-09T09:59:23.732Z
2WWPrqAM9djA4r3AHbx5yh4mzyF,,32.5,33.87,-117.79,2023-10-09T09:59:24.1Z
2WWPrsb8bFiwew8KCXGIizRp6Bx,,24.5,39.65,2.87,2023-10-09T09:59:24.1Z
2WWPrrvXpQ77xyGSs6v5BbrOXTA,,24.5,39.65,2.87,2023-10-09T09:59:24.1Z
2WWPrtKnIpOI6KbxLctXD2y9Fhd,,13,46.5,24.51,2023-10-09T09:59:24.571Z
2WWPs2OU8gMWRyoD9Eg1gAg15k7,,21.5,36.96,-120.06,2023-10-09T09:59:25.074Z
2WWPry99BVpCTwls41qTIzKwjFk,,21.5,36.96,-120.06,2023-10-09T09:59:25.073Z
2WWPs2Uv5RlE1SfNhUG84rDx6uh,,28,33.77,-116.26,2023-10-09T09:59:25.245Z
2WWPryPAT3RTI2Ia7uTDdp4wZ7X,,21.5,48.39,8.73,2023-10-09T09:59:25.529Z
2WWPs4ztIsaM9hLxrSfCdGgiD12,,19.5,36.09,-87,2023-10-09T09:59:25.572Z
2WWPs3q4WNlqoiREreC7l0fwR0m,,15,42.52,-83.04,2023-10-09T09:59:25.934Z
2WWPsD0GED6KsTWrlRIghlmqrHo,,21.5,48.39,8.73,2023-10-09T09:59:26.108Z
2WWPsAHft5DZ5cEvhNR3jSFPv39,,27,28.18,-82.5,2023-10-09T09:59:26.252Z
2WWPs63W7TNcfuG8Vi5ld3GhiEH,,5,40.54,-75.56,2023-10-09T09:59:26.549Z
2WWPsD36Ls3LiceRCqite8lwKzC,,15,30.39,-91.07,2023-10-09T09:59:26.549Z
2WWPs93LCPt7LaLiZNQ89upLeus,,29,38.59,-121.29,2023-10-09T09:59:26.607Z
2WWPsCH9NB9bCoC6sMy64qNZkqw,,33,26.5,-80.19,2023-10-09T09:59:26.751Z
2WWPsI4FKqykxO117FS77gZ9wV7,,28,34.43,-118.54,2023-10-09T09:59:27Z
2WWPsGqBq1Gdx5lSfvQUoAn82V9,,17,48.8,12.85,2023-10-09T09:59:27.609Z
2WWPsKMgK8vxGtLvUVOOJqIde6V,,17,47.53,-121.88,2023-10-09T09:59:27.744Z
2WWPsGiPtnEDCldtrSGf5AIYD86,,21,48.09,11.46,2023-10-09T09:59:27.768Z
2WWPsQAYEEylOjWX7tDGs2AjwVh,,21.5,36.96,-120.06,2023-10-09T09:59:28.1Z
2WWPsN8itXunSuZ2s5mkzYrtxZr,,18.5,46.9,6.58,2023-10-09T09:59:28.101Z
2WWPsNbGYDHY23EKXArP6DOqQiG,,10,33.41,-86.8,2023-10-09T09:59:28.244Z
2WWPsOlSDr6xubi5pVPVSQipflB,,18,50.58,7.57,2023-10-09T09:59:28.413Z
2WWPsOUSdeNbadMnlYwwEsrGM2h,,25.5,29.74,-95.75,2023-10-09T09:59:28.548Z
2WWPsNnPtrrNfXsAwdfAV5UMwa6,,11.5,49.88,-119.54,2023-10-09T09:59:28.552Z
2WWPsWa9p0Ymn6nOx7Sxg85wW7S,,11.5,57.66,11.87,2023-10-09T09:59:29.529Z
2WWPsXBdqeUFAG3zgChRw9pait6,,24.5,39.65,2.87,2023-10-09T09:59:29.53Z
2WWPsf0FEGiARj6vutOQy9FyMOC,,29,38.22,21.76,2023-10-09T09:59:30.225Z
